publishedAt,authorDisplayName,textDisplay,likeCount
2022-11-28T12:25:02Z,GARAGA RYUCHI,Si putri istri habib tuh ngotot kali mau penjarain dr richad..padahal yang masalah dr richad sama produk krim abal abal..tapi si putri yg tinggi..udah istri habib tapi klakuan jelek sifat..iri dan dengki..kasian suaminya habib..🤣😂😂,0
2022-11-28T12:21:23Z,GARAGA RYUCHI,Siapa tuh Si Putri artis yang jadi istri habib..tapi sifatnya bikin malu suaminya..si putri ngotot skali mau masukin dr richad masuk penjara..tau kan si putri yang dulu pakaianya seksi mulu..skrang udah hijab..tapi klakuanya tetap gak ada ahlak..🤣😂,0
2022-11-28T09:30:51Z,Susan Thang,"Kayanya bening skincare deh. Jd gw beli paket, tp night creamnya gw beli yg etiket biru. Yg etiket biru tuh lebih ampuh dan cepet banget mulusin dan mutihin ( gw beli paket brightening). Nahhh..gw itu biasa selalu simpen packaging yg uda abis, krn kl kita traveling bawa skincare yg kecil2 kan biar irit tempat. Nahhh.. perna suatu saat gw mo pergi trus mo cuci bekas night cream si bening, pas gw buka bekas2 cream yg dipinggir gt berubah item… bukan suuzon ya. Abis ktnya kl yg berubah item krn pake hydroquinone… terus gw perna liat video si dokter richard diundang si dr.oki pas grand opening bening klinik… mungkin ya mungkinnnn yg dimaksud temen yg ga mau disenggol dan py klinik ya si dr.oki. Apalagi klinik athena di arteri pondok indah seberangan sm si bening klinik.. wkwkwkwkwkk…salam damai dah",0
2022-11-28T09:20:46Z,Eric Ivan,Harusnya polisinya disidik tuh.,0
2022-11-28T07:20:24Z,KaroLyna Lin,"Yup keren cara berfikirny kan....yg sll bilng agama dan merasa sok ahli surga tp mikrnya ngeri dan yah Mrasa hobat the best aj yg onoh,g malu ye katahnya sok surgahnya .5f yeh Krn gue jijik m sonoh dgn sgl bacotnya. Org yg realistis masuk akal Ya ini . Harusny JK org yg Deket Tuhan bisa bimbing bojonya dgn bacotnya yah toh yah toh",0
2022-11-28T05:07:24Z,pendekar putih,Dr. Richad jangan putus Asa<br>Netizen pinter pasti menemani dokter Richad kebaikan,0
2022-11-28T04:21:57Z,Iyaiyaiya95,"<a href=""https://www.youtube.com/watch?v=mve26ZiedmA&amp;t=1h07m36s"">1:07:36</a> w setuju sama Dr Richard sih… gue org yg g akan minta maaf lagi klo gue tau ga salah. Selama hidup gue di sodara nyokap. Anak sodara ini, ngefitnah gue. Gue d paksa minta maaf atas kesalahan yg ga pernah gue buat. Pas kita sama2 gede, gue tanyain. Dia nangis2 minta maaf personal k gue. Tp kesempatan lain, dia ngefitnah gue lagi. Ibuknya mereka nelpon gue suruh gue minta maaf. Tp “nggak”. Sampe mati pun, gue ga akan minta maaf. Krn mereka udah ngelewatin batas di ngatain almh nyokap gue. Gue ga percaya dgn “salah ga salah minta maaf”. Krn dengan ini, org akan lebih berbangga buat nginjek2 kita. Prinsip gue skg. Sampai matipun, klo ga salah, gue ga akan minta maaf.",0
2022-11-28T04:13:09Z,Iyaiyaiya95,"<a href=""https://www.youtube.com/watch?v=mve26ZiedmA&amp;t=1h05m14s"">1:05:14</a> gilakkkk… antagonis d rl",0
2022-11-28T03:58:32Z,~•Aria Official•~,Note : kebahagiaan gue bukan nyakitin orang,0
2022-11-28T03:32:19Z,Iyaiyaiya95,"<a href=""https://www.youtube.com/watch?v=mve26ZiedmA&amp;t=51m16s"">51:16</a> 😢😢😢😢miris ya sama wakanda",0
2022-11-27T17:10:41Z,nabe,Gilaaaa ngefans bgt sm densu🔥🔥,0
2022-11-27T16:49:51Z,Dela Anggini,"Dari sini kita belajar, diam adalah cara terbaik dalam setiap perseturuan",0
2022-11-27T16:06:08Z,ctyani,"Kecewa sih sm prmpuan itu, mrsa drinya benar pdhl yg mndang benar itu hrus orglain.... Suaminya gk bsa menasehati istrinya.<br>Dri awal aja sudah gk respek smnjak ada kasus ini mncuat... Yakin aja dr Richard emang gk salah.<br>Pdhl aku trmasuk org yg gk berani mnyentuh cream2 yg brbahaya krna edukasi dokter,,, takut efeknya yg akan trjdi pda kulit kita dlm jngka pnjang nya.",1
2022-11-27T15:58:36Z,النمر الاسود,Sekali2 bintang tamunya Davi sumbing,0
2022-11-27T14:14:07Z,Novi Tasari,"Kebiasaan emg, jd gak heran org2 disana haha",0
2022-11-27T13:25:35Z,Anisa Zahara Fadilla,"di fitnah, d injek, di manipulasi. mohon mohon sampe bawa keluarga minta maaf. KP gue doain lu selamet.",0
2022-11-27T12:20:35Z,anthony august,"ok nih cara bawa podcast nya, cara ngarahin si sumber nya supaya ngikut si podcaster nya👍",0
2022-11-27T12:15:27Z,Ms. Tri,"Sejahat2nya orang Islam, yang haram cuma babi 😂😂😂",0
2022-11-27T11:45:43Z,Veronica Desy,Padahal sekarang di tiktok banyak juga lho yang suka review skincare plus nyebut nama dan ngeliatin produknya,0
2022-11-27T11:37:00Z,Zainatunnisa Inis,Bang densu undang aliando dong bahas tentang penyakit dia ocd pasti seru,1
2022-11-27T09:55:36Z,Tiastri Eka Putri,"Sikap densu bnr2 luar biasa. Perjalanan hidup dia yg penuh lika liku benar2 kasih dia pembelajaran yg mahal, gak semua orang bisa punya hati besar dan lapang kayak densu.<br><br>Sikap dokter pun disini gak salah, manusiawi bgt. Emosi yg masih menggebu-gebu (apalagi dibuktikan dgn hasil beliau gak salah) emang wajar banget sih. Dokter masih butuh validasi dari org2 kalau dia benar. Ditambah dokter jg orang yg suka sama prestasi, jadi wajar bgt klo dokter mengharapkan apresiasi atas semua yg udah dia jalanin sbg bentuk &#39;prestasi&#39; dia.<br><br>Good luck pokoknya buat orang2 hebat dan baik seperti kalian berdua. Semoga semakin sukses. Semoga dokter richard juga bisa segera move on dari kasus 2 tahun terakhir ini yaa dok...<br><br>👍👍👍",0
2022-11-27T09:03:44Z,Luluk Ifroida,Semangat dokter jgn menyerah,0
2022-11-27T08:52:30Z,Indriani Sangrangang,Pemilik bisnis curang abal2 takut bisnisnya hancur Krn konsumen banyak tau ttg skincare melalui konten Dr Richard.,0
2022-11-27T08:46:42Z,Ghifari Santa,cukup tau aja ane,0
2022-11-27T08:22:09Z,WayS Creative,Keren dr richard... Smangat dr... Smoga nama baik nya sgera kembali... <br><br>Bntu subscribe kak biar bisa monet... Insya Allah bermanfaat konten nya 😇🙏,0
2022-11-27T08:07:00Z,Nur Santi,Malu ga si kristen better dr islam,0
2022-11-27T07:12:54Z,Kawiyah Min,"Walaupun sy beda agama dgn dr ricard,tp sy mendukung dn sgt salutt dgn sikap dr ricard..dn walaupn sy se agama dgn org bermslh dgn dr ricard,tp sy gk respek smsekali,krna gk punya hati,dr ricard sdh mnta mf berkali2 tp masih di setang teruus dn tdk ada di mf kan",0
2022-11-27T06:36:39Z,Cahaya Rizky,"Bang densu.. saya ingin menambahkan jawaban dari dr.Richard. Mungkin bagi bang Densu, youtube hanya untuk pentingan adsense dan viewer. Tapi bagi kami seorang tenaga kesehatan, kami sudah mengucap sumpah akan mengabdikan hidup untuk kepentingan kemanusiaan. Dan salah satunya adalah melalui medsos. Saya pun begitu, walaupun tidak dibayar atau tidak ada imbal apapun yang didapat dari edukasi di medsos, tapi ada kepuasan batin tersendiri dapat bermanfaat untuk sesama.",0
2022-11-27T05:59:56Z,Meng,dia datang Sopan santun blm tentu ber etika baik lho yaaa   <b>sehat sllu dokter Richard</b><br>Allah jaga sllu,0
2022-11-27T04:17:41Z,Kawiyah Min,Dua orang hebat..dengan daya pikir hebat..dgn kata2 hebat..patut kita bljr dari bang densu dn dr Ricard..,0
2022-11-27T04:12:13Z,-𝐜𝐡𝐞𝐲𝐲🍵`,Jangan dendam ya dok...iklaskanlah Tuhan yang membalas mereka..karena kalo dokter dendam akan menambah masalah buat dokter nantinya..jadi iklaskalah dan maafkan mereka..maka dokter akan menemukan hati yang tenang dan jiwa yang gembira..Amin,0
2022-11-26T21:59:55Z,Nafa Cantik,Km dokter yg baik &amp; tulus..km tdk ssndirian dok Tuhan bersamamu dgn doa2 indah kami.,0
2022-11-26T19:16:06Z,Agus Sarwoko T,"Waduhh bang den.. kmrin bilang konten ma denis gk ada faedahnya makanya gk di uploud.. lah ini malah bilang masa bdoh penonton mau dpt apa yg pntg bang den dpt ads.... Gmn sih bang den...<br><a href=""http://www.youtube.com/results?search_query=%23gw"">#gw</a> ttp fans bang den ya... Apalagi drl fans bet..",0
2022-11-26T17:20:51Z,Albar Qayyum,that&#39;s just a good business,0
2022-11-26T16:05:08Z,Luqman Nur Hakim,Jadi teringat kisah nabi yusuf dipenjara,0
2022-11-26T15:20:33Z,Arum Adella,Dari sini sy lebih tau wanita itu ternyata hatinya busuk,0
2022-11-26T14:49:14Z,Novia Anggraeni,Demi apa ngeriiii astagfirullah hukum begini amat..,0
2022-11-26T14:26:32Z,nurfarahim nugroho,"Ga kebayang apa yg di alami dokter lee selama ini 😔 kasiann ,lalu siapa yg harus tanggungg jawab untuk semua penderitaan yg dia terima ?<br>Ga korup, ga ngebom, ga nyerang presiden, ga narkobaan , salah dia apa sebenernya sampe di gituin🥺,",0
2022-11-26T14:19:54Z,nurfarahim nugroho,"Ngikutin dari awal ,,, saya muslim dan saya berada di pihak kebenaran dan ilmiah, ilmu, edukasi, <br>Alhamdulillah otak saya tidak mental dengan hal tersebut, saya bisa menerima dan meresapi apa yg di sampaikan di video dr. Ricard dulu,  dan memang dok ada beberapa manusia yg tidak bisa menerima ilmiah otaknya 😀",0
2022-11-26T14:08:08Z,Natalia natz,"aku padamu dr Richard, tetap semangat, Indonesia berterima kasih pd mu ❤",0
2022-11-26T11:57:24Z,veronika filia,💓💓💓,0
2022-11-26T10:49:32Z,E Susan,"Menurut saya dokter ini review produk orang lain dimana dia juga jual produk yg sama, juga belum bisa dibilang hal yg bagus.<br><br>Karena reviewnya mengandung nilai Promosi produk sendiri😁.<br><br>Mana yg tulus buat edukasi dan tidak itu akan keliatan dari buahnya.",0
